Time,Team 1,Team 1 Score,Team 2,Team 2 Score,Match Info
9:00 AM,Tulsa White,19,OK Motley,15,Men's Pool
9:20 AM,Tulsa Women,10,Fayetville Phoenix,21,Women's Pool
9:40 AM,Raging Cocks,35,Yahoos,7,Men's Pool
10:00 AM,Tulsa Blue,40,OKC,7,Men's Pool
10:20 AM,Little Rock Women,24,Tulsa Women,0,Women's Pool
10:40 AM,Green Machine,21,Little Rock MEN,19,Men's Pool
11:00 AM,OK Motley,21,Raging Cocks,28,Men's Pool
11:20 AM,Fayetville Phoenix,22,Little Rock Women,12,Women's Pool
11:40 AM,Yahoos,7,Tulsa Blue,15,Men's Pool
12:00 PM,OKC,0,Green Machine,38,Men's Pool
12:20 PM,Tulsa Women,10,Fayetville Phoenix,24,Women's Pool
12:40 PM,Little Rock MEN,5,Tulsa White,12,Men's Pool
1:00 PM,Tulsa Old Boys 1,0,Tulsa Old Boys 2,0,Alumni Game
1:20 PM,Tulsa Women Alumni 1,0,Tulsa Women Alumni 2,0,Alumni Game
1:40 PM,OK Motley,7,Green Machine,28,Men's Pool
2:00 PM,Little Rock Women,45,Tulsa Women,0,Women's Pool
2:20 PM,Raging Cocks,52,OKC,0,Men's Pool
2:40 PM,Little Rock MEN,7,Tulsa Blue,31,Men's Pool
3:00 PM,Fayetville Phoenix,1,Little Rock Women,5,Women's Pool
3:20 PM,Tulsa White,20,Yahoos,5,Men's Pool
